name,vorname,titel,ort,empfangen,gesendet
collocutoribus,s.n.,,in Poissy,1,0
frMcis,s.n.,,s.l.,1,0
Eggelius,Karl,,Ravensburg,1,0
Bullinger,Heinrieh,,s.l.,1,0
Seemann,Georg,,s.l.,1,0
Wilhelm,,von,Bernhausen,1,0
Griadal,Edmund Cox Richard,,H,1,0
von,Rappoltstein,,Rappoltstein Ribeaupierr,1,0
Hsab,s.n.,,Gesandte in Baden,1,0
ut,Kt ueJ W rtcA,,s.l.,1,0
tzx,sirxxciie,von,Zürich,1,0
t,Ai,,Zv. rit,1,0
Hullinger,Heinrichjun.,,Strassburg,1,0
Zürcher,PrddAgg,,s.l.,1,0
Hüsli,Hüsslin Rudolf,,Rafz,1,0
Geistliche,s.n.,,Schweiz,1,0
Ulmer,Johann Konrad,,s.l.,1,9
FrancisVSarl,s.n.,,of Bedford,1,0
Turner,Wilhelm,,s.l.,1,0
i,s.n.,,Sampson Thomas,1,0
X,s.n.,,Reichenweier,1,0
Ampelander,Valentin,,Zofingen,1,1
Grindall,Edmund,,Winchester,1,0
Coverdale,Miles,,s.l.,1,0
Ehern,Christoph,,Heidelberg,1,6
Hooper,John,,in,1,0
Grindal,Edmund,,Horn Richard,1,0
undat.Brief,s.n.,,in Bull. Cerr. ,1,0
i,s.n.,,Frankfurt,1,0
ref.,Kirchen X j,,Kirche Zürich,1,0
Gwalther,Rudolf,,s.l.,1,0
Thomas,Brast,,s.l.,1,0
Keler,Johannes,,St. Gallen,1,1
ffullinger,Hane Rudolf,,Berg,1,0
Ballinger,Rudolf,,s.l.,1,0
Baljhasar,yen Karpfen,,Württenherg,1,0
a,Lasco Johannes,,Emden,1,1
Wilhelm,Hessen,von,Rauschenberg,1,0
Senaventura,ren Brunn,,s.l.,1,0
FT,uilLUAVA,,TrU,1,0
Mf,IRG,,begären so amm sammstag,1,0
Philipp,Landgraf,von,Rauschenberg Empf. Juli,1,0
vdMfhevJ,s.n.,,s.l.,1,0
Hubert,Konrad,,Straburg,1,1
an,alle zugunsten voi,,nostrae literae pervene,1,0
Sturm,Johannes,,Strassburg,1,1
Christian,III König vor,,Dänemark,1,0
Bu,Hing er Heinrich,,Zürich,1,1
ketzreiscben,König zu,,könne. Dies,1,0
Friedrich,III. r,de,Heidelberg,1,0
Christian,III.,,Kopenhagen oder Holding,1,0
M,ni m ir F w w,,Schaffhausen,1,0
Fabricius,Johamm,,s.l.,1,0
lullinger,Hans Rudolf,,Berg,1,0
Pineier,s.n.,,Johannes,1,0
Utenhove,s.n.,,Emden,1,1
Goodman,Christophen,,KOX,1,0
Jupg,Johannes,,Basel,1,0
Horn,Robert,,s.l.,1,2
Egli,Tebias,,Chur,1,1
Sandys,Edwin,,London,1,2
von,Wittgenstein Ludwig,,Berleburg u,1,0
Erripfänger,s.n.,,Genf,1,0
Saldi,Joachim,,Glarus,1,6
Haller,Johannes,,Stern,1,0
Egli,Tehias,,Chur,1,0
Beza,Theodor,,SaintGermain,1,0
Diesbach,Hikluas,von,Bern,1,0
Curio,Coelius Secundus,,Ba sei,1,0
Pfalzgraf,an Rhein,,C SufilriiAsvnc fiUt,1,0
Wilhelm,Landgraf rem,,Hessen,1,0
Bullinger,Hans Rudolf,,Berg am Irchel,1,1
Bgli,Tobias,,Chur,1,0
Balthasar,Karpfen,von,Württemberg,1,0
Weidner,Johannes,,Danzig,1,0
Melanchthpn,Philipp,,Wittenberg,1,0
a,Lasco Johannes,,r,1,0
TLkWm,k,,rsC,1,0
MSger,Heinrich,,s.l.,1,0
Heinrich,s.n.,,Zürich,1,1
Guineer,Heinrich,,s.l.,1,0
MJoadl.,s.n.,,s.l.,1,0
Egli,TObias,,s.l.,1,0
Ecclesiae,s.n.,,s.l.,1,0
Fäsi,Oswald,,Winterthur,1,0
t,f r vnl rm. W p ft,,Schaffhausen,1,0
w,ArW. w fi Wwti,,Schaffhausen,1,0
Hinwil,s.n.,,Frau von,1,0
Egli,obias,,s.l.,1,0
a,Laseo Johannes,,Polen,1,0
Skalich,Faul,,Tübingen,1,0
Melanehthon,Philipp,,s.l.,1,0
a,Easco Johannes,,CT,1,0
R,Egli Tobias,,s.l.,1,0
fgtfmias,s.n.,,s.l.,1,0
Bul,inger Hans Rudolf,,s.l.,1,0
zum,s.n.,,s.l.,1,0
...Schwager...,s.n.,,im Zürcher Rat offenbar,1,0
Stadler,Jörg,,Zürich,1,0
Ballinger,Heinrich,,s.l.,1,0
Bourbon,Louis,,CorAfC,1,0
Achatius,Israelin,,s.l.,1,0
Lelio,Sozzini,,s.l.,1,0
Utenhove,Johannes,,dPolen,1,0
a,Lasco Johannes,,KrU,1,0
Coignet,Matthieu,,Solothurn,1,35
Anna,vou dU x.,,Röteltn,1,0
SfiSSe.r,Heinrich,,s.l.,1,0
Tillmann,Samuel,,Königsfelden,1,4
Nov,s.n.,,s.l.,1,0
Sullger,Sans Rudolf,,s.l.,1,0
Bäidi,Joachim,,s.l.,1,0
Egli,Tpbias,,s.l.,1,0
PJauser,Johannes Sebastian,,utU Vicr,1,0
ufTinger,Hans Rudolf,,s.l.,1,0
Digitalisierungszentrum,s.n.,,s.l.,1,0
ct,flj s fLT,,s.l.,1,0
Botrhaus,Martin,,s.l.,1,0
Vermigli,Peter M rtyr,,s.l.,1,0
Pfalzgraf,Friedrich,,s.l.,1,0
ülmer,Johann Konrad,,Schaff hausen,1,0
Lindauer,Bernhard,,Uru,1,0
WWi.s,s.n.,,s.l.,1,0
JSag,Maximilian,,lu,1,0
Klarer,Ambrosius,,s.l.,1,0
Lusinski,Johannes,,Iwanowicz,1,0
WalderKonrad,s.n.,,J,1,0
Uchahski,Jakb,,s.l.,1,0
Heideek,Johann,,Christoph von,1,0
von,Salis riedrich,,Chiavenna,1,0
Salis,Friedrich,von,Samadem,1,0
ttr,Christopk,,s.l.,1,0
itnermistr,und Bäte,,o. O. Winterthur,1,0
fr,s.n.,,Basel,1,0
kfaiJ,MfH ftmikjUL,,z,1,0
Hospinian,Johannes,,s.l.,1,1
Paul,s.n.,,s.l.,1,0
Sü,s.n.,,Bald Joachim,1,0
WblS,s.n.,,s.l.,1,0
Toc,oU,,s.l.,1,0
Propst,und Kapitel s,de,Zürich,1,0
Schneewolf,HsmMorrfz.,,y,1,0
Georg,Württemberg,von,f,1,0
Müller,Georg Jörg,,Zürich,1,0
lebitz,Wilhelm,,Heidelberg,1,0
Bürgermeister,und Hat,,Zürich,1,0
önigMaximilian,s.n.,,Uu,1,0
Calvin,Johannes,,M,1,0
Sulzer,Simon,,s.l.,1,2
Fahreins,Johannes,,Chur,1,0
Erb,atthims,,Reichenweier,1,0
Christoph,Herzog,von,Württemberg,1,0
Beza,Theodor und,,Genf,1,0
Mailand,s.n.,,s.l.,1,0
Egli,Tobias,,CL uw,1,0
Ga.,Herren,,Zürich,1,0
Bürgermeister,s.n.,,Zürich,1,0
fWaidner,Wolfgang,,Worms,1,0
rJel.gfiggtg,s.n.,,s.l.,1,0
Fabricius,Johannes,,Bhur,1,0
Bttllinger,Hans Rudolf,,s.l.,1,0
y,s.n.,,Olika Graf von Wilna,1,0
Salis,Friedrich,von,i,1,0
L,Zürich Rat,von,s.l.,1,0
Grafen,Erbach,von,s.l.,1,0
Grafen,Erhach,von,s.l.,1,0
seinen,Sohn,,Zollikon oder Zürich,1,0
HlilVr,einrieh,,s.l.,1,0
It,s.n.,,s.l.,1,0
t,ulU j,,s.l.,1,0
MartiAretius,Benedikt,,Bern erh. Dez. ,1,0
SöStöfeer,Hans Badolt,,s.l.,1,0
Ungnad,Johann,,Urach,1,2
Franz,II.,,König von Frankreich,1,0
Erb,Matthias und König,,Beidhenweier,1,0
Kessler,Samuel,,VeltheimZH,1,0
ffir,Heinrich,,s.l.,1,0
belg.Londoner,Gemein,de,eUsU. VseV,1,0
GrincEal,Edmund,,London,1,0
L,s.n.,,Radziwil N vktu,1,0
Utenhove,Johannes,,Vv uve,1,0
Ulm,er Johann Konrad,,s.l.,1,0
Stumpf,Ar loVtVtV vAcfcoVf,,SoVi vovVvtviyi,1,0
ris,Johannes,,Zürich,1,0
iabriclus,Johannes,,s.l.,1,0
Empfähgeijnixiger,Hans Rud,,eäwMe,1,0
Zffner,einrich,,s.l.,1,0
Zanchi,irolamo,,Heidelberg,1,0
Blaurer,Augustin,,y,1,0
Viret,Pierre,,s.l.,1,0
Laubenberg,Johann Wilhelm,,Wagegg,1,0
c,s.n.,,Kilchberg,1,0
igf,Sbis,,s.l.,1,0
Egli,Tobias,,Cbur,1,1
v..,s.n.,,Heinrich,1,0
Kirchen,Ungarn,von,s.l.,1,0
Herzog,Christoph,von,Württemberg,1,0
Bellinger,Heinrich,,s.l.,1,0
vv,Ki,,s.l.,1,0
Cambray,Jean Jacques j,de,Ohur,1,0
lTfttlger,H.ns Eudolf,,s.l.,1,0
Utenhove,Johannes,,Krtrcgy,1,0
Tarnowski,Johannes,,s.l.,1,0
PolenHerren,u.Geistliche,,s.l.,1,0
Sandys,dwin,,Worcester,1,0
AdelKirche,und alle,,Ungarn Siebenbürgen,1,0
ln,r einrici,,s.l.,1,0
ütenhove,s.n.,,Johannes,1,0
BSffiSs,einrich,,s.l.,1,0
labricius,Johannes,,Chur,1,0
Gassander,G org,,Köln,1,0
Salis,Friedrich,von,Chiavenna oriar fismaclen,1,0
Rüeger,Jakob,,Schaffhausen,1,11
urgermeister,und Rat,,von Zürich,1,0
Bgfl,otias,,j,1,0
Bäldi,oachim,,Glarus,1,3
Radziwill,Nikolaus,,eU,1,0
EftipfShger,s.n.,,Schaffhausen,1,0
von,Erbach Eberhard,,Heidelberg,1,0
Friedrich,v. d. .Pfalz,,und Rat Zürich,1,0
Fries,Johannes uXlUj,,Zürich,1,0
Beza,Theodor,,Geenf,1,0
Sufilnger,Hans Rudolf,,s.l.,1,0
Frau,Waidner ntv.,,Worms,1,0
de,Cambray Jean Jacques,,Ohur,1,0
Tarnowics,Johannes,,Krakau,1,0
Tamowski,Johannes,,Krakau,1,0
Uchahski,Jakb,,MeUafiUS. ,1,0
i,s.n.,,Marburg,1,0
BärET,Adolf S,,s.l.,1,0
Vermigli,Peter Martyr,,Zürich,1,2
fTTbi,s.n.,,s.l.,1,0
Utenhove,Johannes,,f XrrtK,1,0
Rappoltstein,Eg.,von,s.l.,1,0
Ostrorog,Stanislaus,,Mesericz,1,0
Oheimski,Martian,,Polen Krakau,1,0
Boner,Johannes,,Polen,1,0
Oassander,Georg,,Duisburg oder Köln,1,0
bSSiV,Hainrlch,,s.l.,1,0
Foxe,John,,baseX,1,0
Wfer,Heinrich,,s.l.,1,0
tenhove,Johannes,,CKrS,1,0
Badziwill,Nikolaus,,Wilna,1,0
iSffiir,Heinrieh,,s.l.,1,0
Wilhelm,IV. vin Hessen,,ohne Adresse,1,0
Eli,Tobias,,s.l.,1,0
Wissenburg,Welfgang,,s.l.,1,0
Tschudi,s.n.,,Glarus,1,0
,,Geistliche,Schaf fhausen,1,0
tj.hiuu,s.n.,,s.l.,1,0
Schaffhausen,s.n.,,Mülhausen Prediger,1,0
Wilder,einrich,,s.l.,1,0
Egli,Tobias,,WfceeenbnrgWelfgang,1,0
Parisotus,Petrus,,s.l.,1,0
Ambr.,Blarer,,Vinterthur,1,0
.o.lfo,die,,detaillierte Schilderung der,1,0
fffiieim,Christoph,von,Rothenstein und Kalden,1,0
Xm,Heinrich,,s.l.,1,0
Fabrieius,Johannes,,Chur,1,4
Alle,Gläubige in,,Italien,1,0
Beee,theer,de,Genf,1,0
BW,tlaaM,,s.l.,1,0
Zürcher,Geistliche,,s.l.,1,0
i,s.n.,,Mei,1,0
Cassander,Georg,,Köln,1,0
Calvin,Johanne,,Genf,1,2
plr,.I V V v rtfl .Ws IK tm,,Schaffhausen,1,0
von,Wittgenstein Ludwig,,Berleburg as. aj,1,0
Coignet,Matthieu,,s.l.,1,2
Efli,Tobias,,s.l.,1,0
Kessler,Jehammes,,s.l.,1,0
Sulnger,Hans Rudolf,,s.l.,1,0
,,Geistliche,Mülhausen i. E. ,1,0
von,Rappoltstein,,Ragolttein Ribeaupierre,1,0
St.Galler,Prediger,,s.l.,1,0
Ulmer,Johann Konrad,,Schaff hausen,1,1
Bäldi,Johim,,s.l.,1,0
Gleia,Otte,,s.l.,1,0
Herold,Michel,,s.l.,1,0
Wilhel.,T.,,s.l.,1,0
Gwalther,Rudolf,,und übrige Geistliche von,1,0
Philipp.,Landgraf,von,Kassel empf. Okt. . ,1,0
folgende,Beilagen,,versichen was ich vom Conci jti,1,0
Liemanfcaas,Fraaeiseus,,tfoU Tomi CJ,1,0
Lngsen,für Th.Erastus,,CRnl i,1,0
Bu,Hing er Hans Salf,de,s.l.,1,0
Evangelischen,Stetten,,s.l.,1,0
räSter,Heinrich,,s.l.,1,0
Travers,Johannes.,,Zuoz,1,0
äYspiniaa,Jehannes,,s.l.,1,0
Ampelamder,Val,,s.l.,1,0
Hespinian,Johannes,,s.l.,1,0
Erb,Matthias fceichez,,KönigRegius Nikolaus,1,0
Seza,Theodor,,Genf,1,0
Steiger,Johannes,,Bern,1,0
Salis,Friedrich,von,Ghiavenna,1,0
ägli,Totiaa,,s.l.,1,0
Pankraz,Freiburg,von,s.l.,1,0
An,die verfolgten Gläubigen,,in Italien,1,0
jajm,j j b,,s.l.,1,0
Vermigli,Peter Martyr,,Straburg,1,0
